Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,138.139999,138.990005,137.660004,138.970001,136.343155,2105800
2019-02-11,139.399994,139.550003,138.889999,139.259995,136.627670,2337000
2019-02-12,140.119995,141.179993,140.059998,141.000000,138.334793,3312300
2019-02-13,141.449997,141.880005,141.139999,141.440002,138.766464,2369300
2019-02-14,140.860001,141.809998,140.389999,141.190002,138.521194,2731400
2019-02-15,142.160004,142.770004,141.910004,142.740005,140.041885,2537600
2019-02-19,142.410004,143.389999,142.339996,143.020004,140.316605,2469900
2019-02-20,143.050003,143.529999,142.740005,143.320007,140.610931,2357400
2019-02-21,143.059998,143.139999,142.250000,142.830002,140.130203,3684900
2019-02-22,143.199997,143.839996,143.029999,143.770004,141.052429,1838400
2019-02-25,144.559998,144.880005,143.899994,143.979996,141.258453,3920000
2019-02-26,143.750000,144.229996,143.589996,143.710007,140.993561,2155200
2019-02-27,143.389999,143.970001,142.880005,143.759995,141.042618,2046800
2019-02-28,143.649994,143.899994,143.320007,143.460007,140.748276,2275100
2019-03-01,144.380005,144.600006,143.500000,144.419998,141.690125,2985100
2019-03-04,145.000000,145.029999,142.419998,143.750000,141.032806,3555400
2019-03-05,143.809998,143.899994,143.179993,143.479996,140.767883,2838000
2019-03-06,143.520004,143.550003,142.229996,142.389999,139.698502,2139600
2019-03-07,142.160004,142.250000,140.759995,141.279999,138.609482,2851800
2019-03-08,140.130005,141.029999,139.919998,140.990005,138.324982,2328000
2019-03-11,141.389999,143.110001,141.360001,143.059998,140.355835,1910400
2019-03-12,143.330002,143.839996,143.229996,143.539993,140.826752,1966100
2019-03-13,143.960007,144.949997,143.940002,144.460007,141.729385,2013500
2019-03-14,144.460007,144.639999,144.050003,144.339996,141.611649,1494000
2019-03-15,144.619995,145.479996,144.550003,145.009995,142.268982,2324300
2019-03-18,145.100006,145.759995,144.949997,145.550003,142.798767,2489700
2019-03-19,146.119995,146.470001,144.990005,145.520004,142.769333,6104600
2019-03-20,145.320007,145.990005,144.250000,144.919998,142.180679,2900900
2019-03-21,144.479996,146.839996,144.360001,146.619995,143.848572,2949700
2019-03-22,145.839996,146.070007,143.500000,143.559998,140.846375,5151000
2019-03-25,142.580002,143.309998,141.899994,142.690002,140.749710,3676500
2019-03-26,143.699997,144.380005,143.009995,143.789993,141.834778,2861000
2019-03-27,143.839996,144.149994,142.149994,143.130005,141.183746,3402700
2019-03-28,143.460007,143.979996,142.830002,143.759995,141.805176,2654500
2019-03-29,144.610001,144.789993,144.029999,144.710007,142.742264,3614700
2019-04-01,145.759995,146.479996,145.589996,146.389999,144.399399,3666800
2019-04-02,146.419998,146.500000,145.869995,146.380005,144.389557,4292800
2019-04-03,147.080002,147.339996,146.320007,146.729996,144.734787,2404400
2019-04-04,146.839996,147.149994,146.350006,147.039993,145.040558,2248400
2019-04-05,147.389999,147.830002,147.259995,147.779999,145.770508,1744500
