date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:58	57990/57990	---M--	200	added ('OK')	image/png	etag:%22e286-56bd6cb016f8b%22	https://previews.aspirity.com/sigma/assets/img/img_backgroud_footer.png	previews.aspirity.com/sigma/assets/img/img_backgroud_footer.png	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:09:59	23687/23687	---M-Z	200	added ('OK')	text/html	etag:%225c87-58834d0458261-gzip%22	https://previews.aspirity.com/sigma/07_about.html	previews.aspirity.com/sigma/07_about.html	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:00	18384/18384	---M-Z	200	added ('OK')	text/html	etag:%2247d0-58834d042c343-gzip%22	https://previews.aspirity.com/sigma/09_privacy.html	previews.aspirity.com/sigma/09_privacy.html	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:01	19695/19695	---M-Z	200	added ('OK')	text/html	etag:%224cef-56bd6dc141fa0-gzip%22	https://previews.aspirity.com/sigma/blog/12_blog.html	previews.aspirity.com/sigma/blog/12_blog.html	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:03	85582/85582	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4e-56bd6d75e436f-gzip%22	https://previews.aspirity.com/sigma/assets/js/vendor/jquery-2.2.4.min.js	previews.aspirity.com/sigma/assets/js/vendor/jquery-2.2.4.min.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:03	20542/20542	---M-Z	200	added ('OK')	application/javascript	etag:%22503e-56bd6d78e9a51-gzip%22	https://previews.aspirity.com/sigma/assets/js/vendor/jquery.waypoints.js	previews.aspirity.com/sigma/assets/js/vendor/jquery.waypoints.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:04	418/418	---M-Z	200	added ('OK')	application/javascript	etag:%221a2-56bd6d1abe716-gzip%22	https://previews.aspirity.com/sigma/assets/js/menu.js	previews.aspirity.com/sigma/assets/js/menu.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:05	697/697	---M-Z	200	added ('OK')	application/javascript	etag:%222b9-56bd6d1ad7d55-gzip%22	https://previews.aspirity.com/sigma/assets/js/mobile-menu.js	previews.aspirity.com/sigma/assets/js/mobile-menu.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:06	663/663	---M-Z	200	added ('OK')	application/javascript	etag:%22297-56bd6d1e7a7d3-gzip%22	https://previews.aspirity.com/sigma/assets/js/video.js	previews.aspirity.com/sigma/assets/js/video.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:07	428/428	---M-Z	200	added ('OK')	application/javascript	etag:%221ac-56bd6d1ccada3-gzip%22	https://previews.aspirity.com/sigma/assets/js/style-switcher.js	previews.aspirity.com/sigma/assets/js/style-switcher.js	(from https://previews.aspirity.com/sigma/01_mobileapp.html)
19:10:08	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:09%20GMT	https://previews.aspirity.com/sigma/assets/css/ajax-loader.gif	previews.aspirity.com/sigma/assets/css/ajax-loader.gif	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:09	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:10%20GMT	https://previews.aspirity.com/sigma/fonts/lg.eot?n1z373	previews.aspirity.com/sigma/fonts/lgd641.eot	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:10	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:11%20GMT	https://previews.aspirity.com/sigma/fonts/lg.eot?	previews.aspirity.com/sigma/fonts/lgd41d.eot	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:11	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:12%20GMT	https://previews.aspirity.com/sigma/fonts/lg.woff?n1z373	previews.aspirity.com/sigma/fonts/lgd641.woff	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:12	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:13%20GMT	https://previews.aspirity.com/sigma/fonts/lg.ttf?n1z373	previews.aspirity.com/sigma/fonts/lgd641.ttf	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:13	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:14%20GMT	https://previews.aspirity.com/sigma/fonts/lg.svg?n1z373	previews.aspirity.com/sigma/fonts/lgd641.svg	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:14	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:15%20GMT	https://previews.aspirity.com/sigma/assets/img/vimeo-play.png	previews.aspirity.com/sigma/assets/img/vimeo-play.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:15	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:16%20GMT	https://previews.aspirity.com/sigma/assets/img/video-play.png	previews.aspirity.com/sigma/assets/img/video-play.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:16	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:17%20GMT	https://previews.aspirity.com/sigma/assets/img/youtube-play.png	previews.aspirity.com/sigma/assets/img/youtube-play.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:17	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202020%2003:10:18%20GMT	https://previews.aspirity.com/sigma/assets/img/loading.gif	previews.aspirity.com/sigma/assets/img/loading.gif	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:21	55578/55578	---M--	200	added ('OK')	image/png	etag:%22d91a-56bd6cb20de52%22	https://previews.aspirity.com/sigma/assets/img/img_bg_clouds.png	previews.aspirity.com/sigma/assets/img/img_bg_clouds.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:22	30781/30781	---M--	200	added ('OK')	image/png	etag:%22783d-56bd6cb405cb9%22	https://previews.aspirity.com/sigma/assets/img/img_bg_wave.png	previews.aspirity.com/sigma/assets/img/img_bg_wave.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:23	517/517	---M--	200	added ('OK')	image/png	etag:%22205-56bd6cb5079ad%22	https://previews.aspirity.com/sigma/assets/img/img_color.png	previews.aspirity.com/sigma/assets/img/img_color.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
19:10:25	39554/39554	---M--	200	added ('OK')	image/png	etag:%229a82-56bd6cb327244%22	https://previews.aspirity.com/sigma/assets/img/img_bg_messenger_right.png	previews.aspirity.com/sigma/assets/img/img_bg_messenger_right.png	(from https://previews.aspirity.com/sigma/02_messenger.html)
19:10:25	37695/37695	---M--	200	added ('OK')	image/png	etag:%22933f-56bd6cb310ae5%22	https://previews.aspirity.com/sigma/assets/img/img_bg_messenger_left.png	previews.aspirity.com/sigma/assets/img/img_bg_messenger_left.png	(from https://previews.aspirity.com/sigma/02_messenger.html)
19:10:26	18712/18712	---M--	200	added ('OK')	image/png	etag:%224918-56bd6cb997901%22	https://previews.aspirity.com/sigma/assets/img/img_feature_big_screen.png	previews.aspirity.com/sigma/assets/img/img_feature_big_screen.png	(from https://previews.aspirity.com/sigma/02_messenger.html)
19:10:29	44603/44603	---M--	200	added ('OK')	image/png	etag:%22ae3b-56bd6cd08d717%22	https://previews.aspirity.com/sigma/assets/img/img_platform_web.png	previews.aspirity.com/sigma/assets/img/img_platform_web.png	(from https://previews.aspirity.com/sigma/02_messenger.html)
19:10:29	29778/29778	---M--	200	added ('OK')	image/png	etag:%227452-56bd6ccf7df61%22	https://previews.aspirity.com/sigma/assets/img/img_platform_mac.png	previews.aspirity.com/sigma/assets/img/img_platform_mac.png	(from https://previews.aspirity.com/sigma/02_messenger.html)
19:10:30	1358185/1358185	---M--	200	added ('OK')	image/png	etag:%2214b969-56bd6cd72eb1d%22	https://previews.aspirity.com/sigma/assets/img/img_video.png	previews.aspirity.com/sigma/assets/img/img_video.png	(from https://previews.aspirity.com/sigma/assets/css/main.css)
